updatetime,vehiclecount,totalspaces,garagecode,streamtime,switch
1627,0.0,65.0,1,1618,0
1627,0.0,512.0,2,1618,0
1627,869.0,1240.0,3,1618,1
1627,22.0,953.0,4,1618,0
1627,124.0,130.0,5,1618,1
1627,106.0,400.0,6,1618,1
1627,115.0,210.0,7,1618,1
1627,233.0,700.0,8,1618,1
1657,0.0,65.0,1,1618,0
1657,0.0,512.0,2,1618,0
1657,959.0,1240.0,3,1618,1
1657,22.0,953.0,4,1618,0
1657,124.0,130.0,5,1618,1
1657,119.0,400.0,6,1618,1
1657,121.0,210.0,7,1618,1
1657,282.0,700.0,8,1618,1
1628,0.0,65.0,1,1618,0
1628,0.0,512.0,2,1618,0
1628,1014.0,1240.0,3,1618,1
1628,22.0,953.0,4,1618,0
1628,125.0,130.0,5,1618,1
1628,151.0,400.0,6,1618,1
1628,125.0,210.0,7,1618,1
1628,369.0,700.0,8,1618,1
1658,22.0,953.0,4,1618,0
1658,0.0,65.0,1,1618,0
1658,0.0,512.0,2,1618,0
1658,1045.0,1240.0,3,1618,1
1658,144.0,130.0,5,1618,0
1658,187.0,400.0,6,1618,1
1658,129.0,210.0,7,1618,1
1658,447.0,700.0,8,1618,1
1619,0.0,65.0,1,1618,0
1619,0.0,512.0,2,1618,0
1619,413.0,1240.0,3,1618,1
1619,22.0,953.0,4,1618,0
1619,165.0,130.0,5,1618,0
1619,206.0,400.0,6,1618,1
1619,63.0,210.0,7,1618,1
1619,252.0,700.0,8,1618,1
1649,0.0,65.0,1,1618,0
1649,0.0,512.0,2,1618,0
1649,360.0,1240.0,3,1618,1
1649,22.0,953.0,4,1618,0
1649,154.0,130.0,5,1618,0
1649,192.0,400.0,6,1618,1
1649,62.0,210.0,7,1618,1
1649,204.0,700.0,8,1618,1
1637,0.0,65.0,1,1618,0
1637,0.0,512.0,2,1618,0
1637,332.0,1240.0,3,1618,1
1637,22.0,953.0,4,1618,0
1637,167.0,130.0,5,1618,0
1637,162.0,400.0,6,1618,1
1637,60.0,210.0,7,1618,1
1637,180.0,700.0,8,1618,1
1667,0.0,65.0,1,1618,0
1667,0.0,512.0,2,1618,0
1667,321.0,1240.0,3,1618,1
1667,22.0,953.0,4,1618,0
1667,166.0,130.0,5,1618,0
1667,150.0,400.0,6,1618,1
1667,55.0,210.0,7,1618,1
1667,161.0,700.0,8,1618,1
1649,0.0,65.0,1,1618,0
1649,0.0,512.0,2,1618,0
1649,269.0,1240.0,3,1618,1
1649,22.0,953.0,4,1618,0
1649,138.0,130.0,5,1618,0
1649,100.0,400.0,6,1618,1
1649,38.0,210.0,7,1618,0
1649,79.0,700.0,8,1618,0
1619,0.0,65.0,1,1618,0
1619,0.0,512.0,2,1618,0
1619,260.0,1240.0,3,1618,1
1619,22.0,953.0,4,1618,0
1619,136.0,130.0,5,1618,0
1619,91.0,400.0,6,1618,1
1619,34.0,210.0,7,1618,0
1619,69.0,700.0,8,1618,0
1655,0.0,65.0,1,1618,0
1655,0.0,512.0,2,1618,0
1655,245.0,1240.0,3,1618,0
1655,22.0,953.0,4,1618,0
1655,136.0,130.0,5,1618,0
1655,87.0,400.0,6,1618,1
1655,33.0,210.0,7,1618,0
1655,66.0,700.0,8,1618,0
1644,0.0,65.0,1,1618,0
1644,0.0,512.0,2,1618,0
1644,588.0,1240.0,3,1618,1
1644,22.0,953.0,4,1618,0
1644,78.0,130.0,5,1618,1
1644,132.0,400.0,6,1618,1
1644,74.0,210.0,7,1618,1
1644,158.0,700.0,8,1618,1
1675,0.0,65.0,1,1618,0
1675,0.0,512.0,2,1618,0
1675,948.0,1240.0,3,1618,1
1675,22.0,953.0,4,1618,0
1675,103.0,130.0,5,1618,1
1675,225.0,400.0,6,1618,1
1675,97.0,210.0,7,1618,1
1675,324.0,700.0,8,1618,1
1645,0.0,65.0,1,1618,0
1645,0.0,512.0,2,1618,0
1645,949.0,1240.0,3,1618,1
1645,22.0,953.0,4,1618,0
1645,105.0,130.0,5,1618,1
1645,268.0,400.0,6,1618,1
1645,106.0,210.0,7,1618,1
1645,394.0,700.0,8,1618,1
1675,0.0,65.0,1,1618,0
1675,0.0,512.0,2,1618,0
1675,969.0,1240.0,3,1618,1
1675,22.0,953.0,4,1618,0
1675,120.0,130.0,5,1618,1
1675,310.0,400.0,6,1618,1
1675,110.0,210.0,7,1618,1
1675,445.0,700.0,8,1618,1
1645,0.0,65.0,1,1618,0
1645,0.0,512.0,2,1618,0
1645,992.0,1240.0,3,1618,1
1645,22.0,953.0,4,1618,0
1645,133.0,130.0,5,1618,0
1645,338.0,400.0,6,1618,1
1645,100.0,210.0,7,1618,1
1645,517.0,700.0,8,1618,1
1628,0.0,65.0,1,1618,0
1628,0.0,512.0,2,1618,0
1628,987.0,1240.0,3,1618,1
1628,22.0,953.0,4,1618,0
1628,146.0,130.0,5,1618,0
1628,328.0,400.0,6,1618,1
1628,94.0,210.0,7,1618,1
1628,529.0,700.0,8,1618,1
1658,0.0,65.0,1,1618,0
1658,0.0,512.0,2,1618,0
1658,983.0,1240.0,3,1618,1
1658,22.0,953.0,4,1618,0
1658,152.0,130.0,5,1618,0
1658,333.0,400.0,6,1618,1
1658,90.0,210.0,7,1618,1
1658,538.0,700.0,8,1618,1
1668,0.0,65.0,1,1618,0
1668,0.0,512.0,2,1618,0
1668,978.0,1240.0,3,1618,1
1668,22.0,953.0,4,1618,0
1668,149.0,130.0,5,1618,0
1668,359.0,400.0,6,1618,1
1668,79.0,210.0,7,1618,1
1668,532.0,700.0,8,1618,1
1620,0.0,65.0,1,1618,0
1620,0.0,512.0,2,1618,0
1620,442.0,1240.0,3,1618,1
1620,22.0,953.0,4,1618,0
1620,164.0,130.0,5,1618,0
1620,291.0,400.0,6,1618,1
1620,45.0,210.0,7,1618,1
1620,362.0,700.0,8,1618,1
1619,0.0,65.0,1,1618,0
1619,0.0,512.0,2,1618,0
1619,312.0,1240.0,3,1618,1
1619,22.0,953.0,4,1618,0
1619,66.0,130.0,5,1618,1
1619,45.0,400.0,6,1618,0
1619,31.0,210.0,7,1618,0
1619,81.0,700.0,8,1618,0
1651,0.0,65.0,1,1618,0
1651,0.0,512.0,2,1618,0
1651,485.0,1240.0,3,1618,1
1651,22.0,953.0,4,1618,0
1651,81.0,130.0,5,1618,1
1651,35.0,400.0,6,1618,0
1651,30.0,210.0,7,1618,0
1651,63.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,481.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,85.0,130.0,5,1618,1
1676,35.0,400.0,6,1618,0
1676,30.0,210.0,7,1618,0
1676,61.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,474.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,83.0,130.0,5,1618,1
1646,35.0,400.0,6,1618,0
1646,29.0,210.0,7,1618,0
1646,61.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,235.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,78.0,130.0,5,1618,1
1676,35.0,400.0,6,1618,0
1676,27.0,210.0,7,1618,0
1676,61.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,217.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,76.0,130.0,5,1618,1
1646,33.0,400.0,6,1618,0
1646,27.0,210.0,7,1618,0
1646,61.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,214.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,76.0,130.0,5,1618,1
1676,32.0,400.0,6,1618,0
1676,26.0,210.0,7,1618,0
1676,60.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,212.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,75.0,130.0,5,1618,1
1646,32.0,400.0,6,1618,0
1646,26.0,210.0,7,1618,0
1646,61.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,207.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,73.0,130.0,5,1618,1
1676,31.0,400.0,6,1618,0
1676,26.0,210.0,7,1618,0
1676,60.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,206.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,71.0,130.0,5,1618,1
1646,31.0,400.0,6,1618,0
1646,26.0,210.0,7,1618,0
1646,60.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,204.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,71.0,130.0,5,1618,1
1676,31.0,400.0,6,1618,0
1676,26.0,210.0,7,1618,0
1676,61.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,202.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,71.0,130.0,5,1618,1
